borrower_id,ssn,FIRST_NAME LAST_NAME,ADDRESS CITY STATE,phone,ID
000040,433-05-3698,IRENE GONZALEZ,820 OXFORD CROSSING DALLAS TX,(214) 865-5203,40
000041,132-21-3747,CHARLES FOSTER,850 SUMMERVIEW CROSSING DALLAS TX,(469) 910-6688,41
000042,457-93-9804,GREGORY PEREZ,57 BLUEJAY PASS DALLAS TX,(972) 433-8549,42
000043,906-16-1095,JOSE STONE,93 WAYWOOD PARKWAY DALLAS TX,(972) 991-8017,43
000044,882-36-6316,PATRICK MOORE,78 CREST LINE ROAD DALLAS TX,(214) 950-2446,44
000045,728-96-3473,LOUIS LYNCH,12197 KINSMAN CENTER DALLAS TX,(469) 820-4208,45
000046,377-44-1238,MATTHEW SNYDER,169 MAYFIELD PARK RICHARDSON TX,(469) 855-5018,46
000047,582-62-7069,SARA WAGNER,24827 TWIN PINES JUNCTION RICHARDSON TX,(469) 914-5869,47
000048,577-82-2947,LOUISE LONG,6 HAAS CENTER DALLAS TX,(214) 939-0517,48
000049,216-53-6968,JUDY HAMILTON,65364 MOSINEE CENTER DALLAS TX,(972) 847-2849,49
000050,202-40-3427,EVELYN YOUNG,4788 SOUTH STREET DALLAS TX,(214) 864-9776,50
000051,897-56-8517,JAMES MOORE,9089 LUNDER PARKWAY DALLAS TX,(469) 830-4056,51
000052,923-84-7867,CLARENCE ROMERO,68501 MICHIGAN STREET PLANO TX,(972) 982-1803,52
000053,539-63-0143,JENNIFER SMITH,3 CORDELIA TERRACE DALLAS TX,(469) 963-5598,53
000054,636-25-1591,JACK BAKER,01441 EASTLAWN PLACE DALLAS TX,(972) 909-1277,54
000055,622-93-5915,AMY NGUYEN,79 RIGNEY CIRCLE DALLAS TX,(214) 905-2261,55
000056,823-00-8890,MARIA STEVENS,5348 DAVID POINT PLANO TX,(972) 992-5831,56
000057,534-07-7079,TERESA CARPENTER,6280 SPENSER LANE DALLAS TX,(972) 908-2593,57
000058,203-68-8563,ROY ARNOLD,7548 DUNNING JUNCTION RICHARDSON TX,(214) 990-9053,58
000059,457-75-1314,RANDY STEWART,5004 EMMET PARK DALLAS TX,(469) 422-2991,59
000060,524-73-0400,BRENDA FERNANDEZ,335 FORSTER ALLEY DALLAS TX,(214) 920-6944,60
000061,344-66-8375,JANET THOMPSON,1 CHINOOK PLACE PLANO TX,(972) 986-8081,61
000062,716-55-3314,BILLY ORTIZ,4 HINTZE COURT DALLAS TX,(469) 808-1346,62
000063,869-29-5873,EDWARD HAWKINS,96231 NORTHLAND PLAZA DALLAS TX,(972) 798-3752,63
000064,218-81-6261,MARK MORGAN,5 MILLER LANE DALLAS TX,(469) 784-6546,64
000065,913-50-1956,CAROLYN MORGAN,975 GOLF VIEW PLACE DALLAS TX,(469) 674-8726,65
000066,749-40-8693,TINA WEAVER,5414 GREEN RIDGE STREET DALLAS TX,(469) 840-0879,66
000067,992-92-6136,ERIC TAYLOR,6 FISK PASS DALLAS TX,(214) 714-7652,67
000068,378-07-1662,RUTH HENRY,84 HERMINA STREET DALLAS TX,(972) 934-2054,68
000069,388-44-9990,PHILLIP PERKINS,84771 BARTELT TRAIL DALLAS TX,(214) 917-4226,69
000070,288-23-0361,ANNIE WELCH,80 STUART ROAD DALLAS TX,(972) 516-1320,70
000071,509-44-1761,LOIS HUNTER,49 BLAINE LANE PLANO TX,(972) 809-1141,71
000072,704-79-5907,LISA COOK,4412 LAKEWOOD GARDENS PLAZA RICHARDSON TX,(972) 653-9871,72
000073,948-30-8402,KATHLEEN HARVEY,13 GRAYHAWK HILL DALLAS TX,(469) 547-7753,73
000074,651-57-6305,DIANE STEVENS,0091 AMERICAN CIRCLE DALLAS TX,(469) 942-1364,74
000075,908-63-2676,SAMUEL YOUNG,0157 HOLMBERG STREET RICHARDSON TX,(469) 918-5729,75
000076,727-25-3782,MARK RILEY,4900 THOMPSON COURT DALLAS TX,(972) 767-2036,76
000077,775-32-5935,BONNIE ROSS,0 WALTON COURT RICHARDSON TX,(972) 766-6908,77
000078,402-35-0549,ELIZABETH ARNOLD,952 SAGE PASS DALLAS TX,(214) 967-2424,78
000079,270-86-6950,JOHN WALKER,2 PACKERS CROSSING DALLAS TX,(469) 796-5094,79
000080,982-11-9636,WILLIAM SIMMONS,1232 HAYES CROSSING DALLAS TX,(972) 903-7706,80
000081,757-38-5276,LISA KELLEY,3718 TWIN PINES WAY DALLAS TX,(972) 900-0487,81
000082,980-24-2372,CARL LARSON,096 GOODLAND PARKWAY DALLAS TX,(469) 550-2228,82
000083,444-73-4007,BRANDON ANDERSON,8 LEROY CIRCLE DALLAS TX,(469) 993-9270,83
000084,278-33-4174,GLORIA MYERS,03 ELMSIDE CENTER PLANO TX,(469) 853-3967,84
000085,772-25-9640,DANIEL FREEMAN,9584 ELKA PLACE DALLAS TX,(972) 769-9270,85
000086,232-98-4647,JUDITH MITCHELL,2506 MERCHANT TERRACE DALLAS TX,(972) 902-9669,86
000087,937-38-5159,ALAN KING,958 BURROWS STREET DALLAS TX,(214) 583-5636,87
000088,327-80-3166,STEVE PHILLIPS,45557 JANA COURT DALLAS TX,(972) 937-9620,88
000089,405-92-7423,BRENDA BUTLER,5 CALYPSO AVENUE DALLAS TX,(972) 892-6177,89
000090,133-37-8900,PATRICIA SPENCER,65143 UNION LANE DALLAS TX,(214) 909-9264,90
000091,227-64-6193,LARRY OLSON,50299 LIEN PARKWAY DALLAS TX,(972) 965-7073,91
000092,272-41-6460,VICTOR SULLIVAN,272 MILWAUKEE POINT PLANO TX,(972) 759-4852,92
000093,318-95-0284,KATHRYN TAYLOR,2952 THACKERAY POINT DALLAS TX,(214) 862-0958,93
000094,729-22-8562,RACHEL LITTLE,755 KROPF PASS DALLAS TX,(972) 797-7226,94
000095,783-54-9793,DONALD RICHARDSON,951 CHIVE AVENUE DALLAS TX,(972) 934-6450,95
000096,131-52-5777,STEPHEN CHAPMAN,0 LUNDER ALLEY DALLAS TX,(214) 987-1376,96
000097,335-18-5473,HAROLD RICHARDSON,76743 BURROWS COURT DALLAS TX,(469) 899-1924,97
000098,933-15-2171,ERNEST PALMER,6 UPHAM DRIVE DALLAS TX,(972) 942-2638,98
000099,595-38-3883,PAMELA MATTHEWS,2 GREEN LANE DALLAS TX,(214) 944-0666,99
000100,808-44-7643,JASON CAMPBELL,6 RAVEN COURT DALLAS TX,(972) 811-4885,100
000101,924-16-0243,JOYCE FULLER,45900 IOWA WAY DALLAS TX,(469) 906-3524,101
000102,348-53-9608,ANDREA BAILEY,33 CARDINAL ALLEY RICHARDSON TX,(972) 846-5566,102
000103,379-16-0722,DENISE PERRY,68 OLD SHORE LANE DALLAS TX,(214) 991-3418,103
000104,997-92-4787,MICHAEL JACOBS,0 BRENTWOOD PLACE RICHARDSON TX,(469) 924-9727,104
000105,664-95-5489,CATHERINE REID,41544 ANNIVERSARY CROSSING PLANO TX,(214) 948-8236,105
000106,424-12-2851,AARON ROMERO,844 UNION WAY DALLAS TX,(972) 535-5154,106
000107,295-19-3279,JOHN WARREN,9127 FARRAGUT CENTER DALLAS TX,(469) 923-5725,107
000108,806-92-2733,STEVE GARRETT,729 KENWOOD COURT RICHARDSON TX,(214) 703-1311,108
000109,466-92-6624,JIMMY ELLIS,8 NEVADA PLACE DALLAS TX,(972) 742-8738,109
000110,454-64-8101,JOSE PEREZ,4463 COMMERCIAL CIRCLE RICHARDSON TX,(469) 852-3133,110
000111,909-18-6864,KATHERINE DEAN,4978 CORDELIA WAY DALLAS TX,(972) 886-7232,111
000112,203-54-9198,ASHLEY JACKSON,676 DAVID ROAD DALLAS TX,(469) 976-0450,112
000113,177-45-8737,KATHRYN HART,29 DEXTER CIRCLE DALLAS TX,(972) 900-3590,113
000114,279-96-6074,DENNIS RUIZ,18784 BROWNING CIRCLE DALLAS TX,(972) 974-1505,114
000115,561-91-3511,SHARON COX,4 HOFFMAN STREET DALLAS TX,(214) 915-0820,115
000116,325-12-4236,RUBY BURKE,5 SWALLOW AVENUE DALLAS TX,(972) 928-8965,116
000117,537-25-0563,JERRY STEWART,54494 KENWOOD TRAIL DALLAS TX,(469) 817-5662,117
000118,508-36-5238,HOWARD FISHER,2 REINKE LANE PLANO TX,(972) 325-6683,118
000119,663-89-7131,ERIC PHILLIPS,578 WESTEND PASS DALLAS TX,(972) 893-0831,119
000120,582-89-0521,ALBERT CRUZ,04 SHOPKO WAY DALLAS TX,(972) 471-4420,120
000121,112-24-4907,TIMOTHY HARRISON,04099 ANHALT PLACE DALLAS TX,(214) 849-7879,121
000122,593-24-8597,RONALD PHILLIPS,4632 BRENTWOOD HILL DALLAS TX,(469) 945-4638,122
000123,152-06-9743,ANTONIO BISHOP,212 MEMORIAL LANE RICHARDSON TX,(469) 835-8047,123
000124,917-73-0651,HOWARD GREEN,9 FLORENCE TRAIL DALLAS TX,(214) 875-8195,124
000125,550-66-4068,WILLIE MURPHY,09 LOEPRICH PARKWAY RICHARDSON TX,(214) 954-5495,125
000126,151-32-0622,CHRISTINE WASHINGTON,95086 ELIOT ALLEY DALLAS TX,(469) 844-5383,126
000127,363-52-9311,ANGELA ELLIS,61 CHINOOK AVENUE DALLAS TX,(469) 912-7557,127
000128,498-97-9543,KATHY WAGNER,1 COLUMBUS CROSSING PLANO TX,(214) 958-2980,128
000129,109-59-3700,ANTONIO CARR,6996 ARIZONA AVENUE DALLAS TX,(469) 724-0803,129
000130,919-11-7074,SAMUEL ELLIS,69968 MEADOW RIDGE ALLEY DALLAS TX,(469) 957-8249,130
000131,532-19-3189,BRUCE WILLIAMSON,51 MAYWOOD PLACE RICHARDSON TX,(214) 969-6651,131
000132,186-61-2257,RUBY MCDONALD,031 OHIO LANE DALLAS TX,(214) 970-5621,132
000133,758-82-0981,JACK LARSON,43086 DEXTER WAY DALLAS TX,(469) 913-6292,133
000134,789-85-0156,TAMMY HUNTER,08 MARQUETTE PASS DALLAS TX,(214) 919-0495,134
000135,144-61-2857,MILDRED RICHARDS,6863 WARBLER CROSSING DALLAS TX,(469) 636-7310,135
000136,812-34-4775,JANET DIXON,1 RIDGEWAY TERRACE DALLAS TX,(972) 381-9665,136
000137,605-13-5959,ANTONIO HAMILTON,2545 LERDAHL CENTER DALLAS TX,(214) 886-6681,137
000138,873-83-1740,LOUISE JORDAN,7326 REINDAHL POINT DALLAS TX,(972) 518-9421,138
000139,992-25-4077,LINDA HUNT,710 LIGHTHOUSE BAY POINT DALLAS TX,(972) 754-7045,139
000140,222-46-0064,JOAN WEBB,90 BASHFORD AVENUE DALLAS TX,(469) 955-0632,140
000141,135-71-1523,KEVIN FRAZIER,47 BLUEJAY HILL DALLAS TX,(972) 965-3683,141
000142,490-88-8407,TODD SCHMIDT,4 LAKELAND PASS DALLAS TX,(214) 903-6828,142
000143,797-95-4607,ANDREA SIMS,898 KILLDEER PASS DALLAS TX,(469) 988-0761,143
000144,959-24-3477,BARBARA BROOKS,305 MENDOTA PLAZA DALLAS TX,(469) 958-8251,144
000145,600-79-0040,KENNETH ANDERSON,246 SHOPKO DRIVE RICHARDSON TX,(972) 998-5406,145
000146,704-59-6830,JESSICA KNIGHT,36 FOREST PARK RICHARDSON TX,(469) 961-0488,146
000147,542-87-9344,DOROTHY ADAMS,2483 MELODY PLAZA RICHARDSON TX,(972) 881-8472,147
000148,634-80-8812,PHILLIP ADAMS,4 DEREK POINT DALLAS TX,(972) 918-0335,148
000149,599-72-6050,JAMES CARPENTER,6668 ILENE COURT DALLAS TX,(214) 820-8276,149
000150,751-57-0699,AMY LOPEZ,715 WESTEND AVENUE DALLAS TX,(469) 830-1019,150
000151,570-71-9526,FRANK GOMEZ,61280 MALLORY PARKWAY PLANO TX,(214) 962-2973,151
000152,585-65-8864,DEBRA ROGERS,4 SOUTHRIDGE PLACE RICHARDSON TX,(469) 753-7894,152
000153,784-42-3645,AARON CHAPMAN,840 MESSERSCHMIDT PLAZA DALLAS TX,(972) 753-3651,153
000154,327-00-2811,JERRY CRUZ,48314 MUIR CROSSING DALLAS TX,(214) 973-8302,154
000155,209-64-5805,GERALD MCCOY,71113 CORRY CIRCLE PLANO TX,(469) 758-3820,155
000156,352-52-5321,MATTHEW WARD,3726 ONEILL TERRACE PLANO TX,(972) 668-2488,156
000157,312-33-6562,MARILYN ANDREWS,61664 WARRIOR STREET DALLAS TX,(972) 831-4215,157
000158,585-35-8539,LAWRENCE COLEMAN,0 SCOVILLE PLAZA PLANO TX,(469) 987-3187,158
000159,766-72-6736,SARAH BURTON,65230 PRAIRIE ROSE POINT PLANO TX,(972) 736-0106,159
000160,519-22-1664,GERALD WHITE,82 DELAWARE PLAZA PLANO TX,(214) 774-5757,160
000161,811-23-2706,SHAWN ROBERTSON,9 TROY ALLEY DALLAS TX,(214) 943-9366,161
000162,983-17-1073,SAMUEL ARNOLD,1748 MONTEREY ROAD DALLAS TX,(469) 741-5231,162
000163,153-09-5087,RUBY MCDONALD,00621 KILLDEER CROSSING DALLAS TX,(469) 941-5043,163
000164,208-16-2580,LILLIAN KIM,47585 NOVA DRIVE DALLAS TX,(214) 740-2312,164
000165,604-54-4201,PAMELA BRADLEY,2 LAKEWOOD GARDENS PLACE RICHARDSON TX,(469) 871-3326,165
000166,764-51-2571,RALPH CHAVEZ,15739 VERA PLAZA DALLAS TX,(214) 598-5319,166
000167,102-72-1991,MARTIN RICHARDS,8 NEW CASTLE TRAIL DALLAS TX,(469) 976-0263,167
000168,743-82-1324,CHRIS SIMMONS,46833 FARMCO JUNCTION DALLAS TX,(469) 810-0333,168
000169,915-27-6165,MARTIN STEVENS,573 ONEILL HILL DALLAS TX,(469) 570-2393,169
000170,615-68-8488,LISA WEST,55586 RONALD REGAN LANE DALLAS TX,(972) 998-4345,170
000171,538-66-1965,DANIEL MARSHALL,3 MANITOWISH CROSSING DALLAS TX,(469) 730-4725,171
000172,981-95-3778,JOHN HICKS,81 NORTHFIELD PLACE RICHARDSON TX,(972) 727-1591,172
000173,802-73-6786,ROGER HARRISON,9 MEADOW VALE DRIVE DALLAS TX,(469) 941-5954,173
000174,777-08-7277,TERESA THOMPSON,06364 GERALD STREET DALLAS TX,(972) 670-1547,174
000175,445-90-2407,ARTHUR FREEMAN,51652 RUSSELL STREET DALLAS TX,(469) 994-4509,175
000176,909-02-3006,HOWARD SIMPSON,95 REDWING LANE DALLAS TX,(972) 910-0392,176
000177,790-10-1835,CHRISTOPHER SPENCER,6 NORTHFIELD CROSSING DALLAS TX,(214) 821-9650,177
000178,847-64-1856,THERESA WOOD,0420 WESTPORT CIRCLE DALLAS TX,(469) 994-1901,178
000179,930-97-8594,LILLIAN WRIGHT,82972 RAVEN ROAD DALLAS TX,(972) 960-5502,179
000180,823-59-4050,SARA ROGERS,7 TWIN PINES CIRCLE DALLAS TX,(214) 984-5323,180
000181,831-37-2302,LINDA RICHARDS,046 HARPER CENTER DALLAS TX,(214) 998-2489,181
000182,139-70-8042,ALBERT CUNNINGHAM,414 SUMMER RIDGE TRAIL RICHARDSON TX,(972) 716-3924,182
000183,611-16-9228,DEBRA HOLMES,22 BLUEJAY ROAD PLANO TX,(972) 954-8773,183
000184,248-33-5177,JASON DAVIS,82931 CARDINAL JUNCTION DALLAS TX,(214) 969-9787,184
000185,399-38-8513,JUSTIN FOWLER,1958 LEROY WAY DALLAS TX,(972) 915-2410,185
000186,515-58-4650,CATHERINE HARRIS,4091 DOE CROSSING ALLEY PLANO TX,(469) 968-7984,186
000187,911-94-6409,GARY REYES,06 SHELLEY PARKWAY DALLAS TX,(972) 985-2014,187
000188,952-37-2293,CLARENCE HARVEY,637 BLACKBIRD CROSSING DALLAS TX,(972) 735-8046,188
000189,866-26-3470,KATHLEEN LYNCH,0 NORTHVIEW CENTER DALLAS TX,(469) 858-9821,189
000190,696-87-1283,ANGELA MYERS,07 JENIFER POINT PLANO TX,(214) 996-3258,190
000191,525-30-0056,PAULA ROBERTS,2025 ANNAMARK COURT RICHARDSON TX,(214) 919-1512,191
000192,455-25-1300,MARIE HUDSON,35523 FULTON POINT RICHARDSON TX,(972) 955-0047,192
000193,300-83-3012,VICTOR GEORGE,16 BUTTERFIELD PLACE PLANO TX,(469) 982-0024,193
000194,568-53-7223,JUDITH LANE,59463 HAVEY CENTER DALLAS TX,(469) 962-1701,194
000195,219-13-1583,STEVEN CARPENTER,64 RUTLEDGE COURT RICHARDSON TX,(972) 759-2760,195
000196,628-41-9882,BEVERLY WELCH,0 7TH POINT RICHARDSON TX,(214) 758-2027,196
000197,553-83-0248,CHRIS COX,386 COLEMAN AVENUE RICHARDSON TX,(214) 902-1149,197
000198,664-42-3811,HEATHER DUNCAN,3 ACKER AVENUE RICHARDSON TX,(972) 906-2444,198
000199,932-05-2280,HELEN COOPER,90887 OHIO TRAIL DALLAS TX,(214) 723-9307,199
000200,359-15-6568,LINDA DIXON,0506 BOYD PLAZA RICHARDSON TX,(214) 940-0096,200
000201,377-03-6374,ERIC WOOD,730 BONNER HILL DALLAS TX,(972) 959-7132,201
000202,956-77-5994,BRENDA BROOKS,4 PENNSYLVANIA HILL DALLAS TX,(972) 960-5440,202
000203,262-72-9956,FRED CRAWFORD,00 MARINERS COVE TERRACE DALLAS TX,(972) 978-1543,203
000204,935-26-1044,ALAN MORRIS,2238 DEBRA CENTER DALLAS TX,(469) 701-3591,204
000205,575-57-3479,JIMMY WATKINS,91873 COLORADO CROSSING DALLAS TX,(469) 933-3579,205
000206,534-35-2839,KEITH FISHER,2 MUIR CROSSING RICHARDSON TX,(972) 999-1883,206
000207,487-48-3434,ROSE OLIVER,3152 THACKERAY POINT DALLAS TX,(214) 971-9384,207
000208,282-19-5051,JOHNNY VASQUEZ,809 GROVER CIRCLE DALLAS TX,(972) 843-5554,208
000209,198-52-6239,JUDITH DUNN,337 NORTHVIEW POINT DALLAS TX,(972) 999-1156,209
000210,165-45-3343,ROGER FREEMAN,13 FARMCO WAY DALLAS TX,(469) 854-9842,210
000211,983-87-0005,RICHARD BAILEY,3108 BROWNING PARK RICHARDSON TX,(214) 718-0392,211
000212,387-20-1613,ERNEST PALMER,66600 PLEASURE DRIVE DALLAS TX,(214) 238-1120,212
000213,440-22-0860,JANICE LONG,26577 LAUREL ROAD DALLAS TX,(214) 972-0889,213
000214,589-60-2564,THOMAS SCHMIDT,0 NEW CASTLE CROSSING PLANO TX,(469) 745-9014,214
000215,564-07-7138,KATHRYN HAYES,18504 BASIL HILL DALLAS TX,(469) 831-7793,215
000216,106-58-8800,CHRIS PERKINS,14865 JOHN WALL CENTER PLANO TX,(972) 957-3368,216
000217,664-12-8122,THOMAS SCOTT,449 SCHURZ PARKWAY DALLAS TX,(469) 914-5396,217
000218,394-69-4479,JUDY RICHARDS,9420 MAIN HILL DALLAS TX,(469) 871-8324,218
000219,977-89-1063,JANICE GARRETT,2998 CHIVE PLACE DALLAS TX,(214) 809-6943,219
000220,720-12-0662,RAYMOND PETERSON,892 FAIRFIELD POINT RICHARDSON TX,(469) 947-5199,220
000221,344-03-8015,MARILYN WILLIAMS,0 JOHN WALL CIRCLE DALLAS TX,(214) 992-8183,221
000222,166-80-9145,TERESA REID,9224 MANUFACTURERS TERRACE DALLAS TX,(972) 457-6436,222
000223,628-54-4529,IRENE MEDINA,51 SOUTHRIDGE PASS DALLAS TX,(972) 994-3852,223
000224,763-92-5219,LINDA CARPENTER,43 DOVETAIL ROAD DALLAS TX,(972) 866-8440,224
000225,468-30-6717,JONATHAN HARRISON,113 HAVEY CROSSING PLANO TX,(469) 900-2769,225
000226,716-63-5871,LAURA GRAHAM,72346 EMMET PLACE DALLAS TX,(469) 892-4249,226
000227,462-64-8746,SHARON PIERCE,9 CLOVE TRAIL DALLAS TX,(972) 930-5410,227
000228,890-27-4530,KATHERINE BOYD,90 PARK MEADOW JUNCTION DALLAS TX,(214) 652-5153,228
000229,875-97-7822,BRIAN PERKINS,5988 HAVEY STREET DALLAS TX,(972) 973-2502,229
000230,867-84-8327,ERIC COOPER,7 GRANBY ROAD DALLAS TX,(972) 970-2642,230
000231,907-94-1254,RANDY STANLEY,94552 LINDEN COURT DALLAS TX,(972) 815-8835,231
000232,319-59-2633,PAMELA GUTIERREZ,50236 GOODLAND LANE PLANO TX,(972) 968-2569,232
000233,145-92-8000,KEITH PERKINS,9543 FARRAGUT ROAD RICHARDSON TX,(214) 804-0599,233
000234,361-70-3782,SCOTT SPENCER,5 LUKKEN JUNCTION DALLAS TX,(214) 701-4621,234
000235,992-96-4866,TODD BRYANT,418 ONSGARD HILL DALLAS TX,(214) 980-7359,235
000236,916-54-8159,JOSE ANDERSON,2705 OHIO JUNCTION DALLAS TX,(214) 530-2752,236
000237,133-83-4824,AMANDA DAVIS,1636 NORWAY MAPLE PLACE PLANO TX,(469) 913-5733,237
000238,712-12-8661,RICHARD CRUZ,69 MARQUETTE PARK RICHARDSON TX,(469) 902-7741,238
000239,325-77-2883,SARA WALKER,18924 3RD CIRCLE DALLAS TX,(972) 932-7544,239
000240,974-70-9717,GLORIA SANDERS,36961 GREEN RIDGE PLACE DALLAS TX,(214) 937-3306,240
000241,584-04-3187,JONATHAN HARRIS,286 MERRY WAY DALLAS TX,(469) 873-4473,241
000242,152-31-3951,JUAN FIELDS,291 MARQUETTE PARKWAY RICHARDSON TX,(972) 916-7303,242
000243,950-88-3244,WANDA MILLS,79024 SURREY WAY DALLAS TX,(469) 920-6298,243
000244,315-12-0643,KAREN DAVIS,83 HOLY CROSS DRIVE DALLAS TX,(972) 890-5755,244
000245,328-21-2988,SCOTT MONTGOMERY,96247 ORIOLE CIRCLE DALLAS TX,(972) 929-5312,245
000246,752-03-8294,MICHAEL STEVENS,356 SHOSHONE DRIVE DALLAS TX,(469) 803-5017,246
000247,223-10-5941,ANDREA BAKER,90 HEATH DRIVE DALLAS TX,(469) 930-1109,247
000248,383-36-2902,MARILYN ALEXANDER,443 DOTTIE CIRCLE DALLAS TX,(972) 406-2617,248
000249,556-96-7003,HARRY ALVAREZ,636 EXPRESS WAY DALLAS TX,(214) 954-5716,249
000250,760-25-1865,ROSE PETERSON,034 SHELLEY DRIVE DALLAS TX,(972) 861-4171,250
000251,196-06-0978,BARBARA GARCIA,5690 ACKER ROAD DALLAS TX,(469) 517-8843,251
000252,140-56-2974,ANN BERRY,37940 MORNING HILL DALLAS TX,(972) 918-7984,252
000253,493-92-4232,PAUL TURNER,75287 PLEASURE PLACE DALLAS TX,(972) 782-6768,253
000254,353-18-9662,THERESA DAY,9 AMERICAN ASH CROSSING DALLAS TX,(972) 909-4722,254
000255,926-42-8995,ANDREW GILBERT,8 AMERICAN PARKWAY DALLAS TX,(972) 834-2804,255
000256,741-11-7814,ALICE TURNER,4 NAMEKAGON LANE DALLAS TX,(214) 660-6741,256
000257,700-23-8477,JULIE SMITH,61345 NAMEKAGON PLACE DALLAS TX,(469) 861-2346,257
000258,390-30-8158,ALICE CARR,7564 OHIO PLAZA DALLAS TX,(214) 549-1687,258
000259,941-05-7192,HARRY BAKER,7 STRAUBEL CENTER PLANO TX,(469) 590-5412,259
000260,949-37-6371,DONNA COOPER,1629 SUMMER RIDGE PLAZA DALLAS TX,(469) 957-3027,260
000261,947-04-7262,LAURA ROGERS,7776 SUMMER RIDGE COURT DALLAS TX,(972) 730-7675,261
000262,443-61-5562,JESSICA HICKS,17138 RYAN CIRCLE DALLAS TX,(469) 815-6162,262
000263,428-09-7397,GEORGE TURNER,4 QUINCY PASS RICHARDSON TX,(214) 958-2175,263
000264,354-53-8826,JOAN WATKINS,9601 LERDAHL PASS PLANO TX,(214) 814-9170,264
000265,757-21-3141,ANDREA GONZALEZ,127 RUSSELL HILL DALLAS TX,(972) 809-5959,265
